id,name
0,Default skin
1,Artsy Miku
2,Artsy Miku: Gold
3,Artsy Miku: Silver
4,Artsy Miku: Purple
5,Artsy Miku: Pink
6,Artsy Miku: Blue
7,Artsy Miku: Teal
8,Artsy Miku: Orange
9,Artsy Miku: Yellow
10,Artsy Miku: Green
11,Pastel Rin & Len
12,Pastel Rin & Len: Purple
13,Pastel Rin & Len: Pink
14,Pastel Rin & Len: Blue
15,Pastel Rin & Len: Teal
16,Pastel Rin & Len: Orange
17,Pastel Rin & Len: Yellow
18,Pastel Rin & Len: Green
19,Relaxed Luka
20,Relaxed Luka: Gold
21,Relaxed Luka: Silver
22,Relaxed Luka: Purple
23,Relaxed Luka: Pink
24,Relaxed Luka: Blue
25,Relaxed Luka: Teal
26,Relaxed Luka: Orange
27,Relaxed Luka: Yellow
28,Relaxed Luka: Green
29,Dreamy Miku
30,Dreamy Miku: Purple
31,Dreamy Miku: Pink
32,Dreamy Miku: Teal
33,Dreamy Miku: Orange
34,Dreamy Miku: Yellow
35,Dreamy Miku: Green
36,Miku Controls: Silver
37,Miku Controls: Purple
38,Miku Controls: Pink
39,Miku Controls: Blue
40,Miku Controls: Teal
41,Miku Controls: Orange
42,Miku Controls: Gold
43,Miku Controls: Green
44,Miku Silhouette
45,Miku Silhouette: Gold
46,Miku Silhouette: Silver
47,Miku Silhouette: Purple
48,Miku Silhouette: Blue
49,Miku Silhouette: Teal
50,Miku Silhouette: Orange
51,Miku Silhouette: Yellow
52,Miku Silhouette: Green
53,Miku&Shiteyanyo
54,Miku&Shiteyanyo: Gold
55,Miku&Shiteyanyo: Silver
56,Miku&Shiteyanyo: Pink
57,Miku&Shiteyanyo: Blue
58,Miku&Shiteyanyo: Teal
59,Miku&Shiteyanyo: Orange
60,Miku&Shiteyanyo: Yellow
61,Miku&Shiteyanyo: Green
62,Shiteyanyo
63,Shiteyanyo: Gold
64,Shiteyanyo: Silver
65,Shiteyanyo: Purple
66,Shiteyanyo: Pink
67,Shiteyanyo: Blue
68,Shiteyanyo: Orange
69,Shiteyanyo: Yellow
70,Shiteyanyo: Teal
71,Shiteyanyo & Chibi Miku
72,Shiteyanyo & Chibi Miku: Gold
73,Shiteyanyo & Chibi Miku: Silver
74,Shiteyanyo & Chibi Miku: Purple
75,Shiteyanyo & Chibi Miku: Pink
76,Shiteyanyo & Chibi Miku: Blue
77,Shiteyanyo & Chibi Miku: Teal
78,Shiteyanyo & Chibi Miku: Orange
79,Shiteyanyo & Chibi Miku: Olive Green
80,Shiteyanyo & Chibi Miku: Green
81,Luka & Tuna
82,Luka & Tuna: Gold
83,Luka & Tuna: Silver
84,Luka & Tuna: Purple
85,Luka & Tuna: Pink
86,Luka & Tuna: Blue
87,Luka & Tuna: Teal
88,Luka & Tuna: Orange
89,Luka & Tuna: Yellow
90,Luka & Tuna: Green
91,Industrial Rin & Len
